YEAR,GoogleKnowlege_Occupation,Show,Group,Raw_Guest_List,
1999,actor,1999-01-11,Acting,Michael J. Fox,
1999,Comedian,1999-01-12,Comedy,Sandra Bernhard,
1999,television actress,1999-01-13,Acting,Tracey Ullman,
1999,film actress,1999-01-14,Acting,Gillian Anderson,
1999,actor,1999-01-18,Acting,David Alan Grier,
1999,actor,1999-01-19,Acting,William Baldwin,
1999,Singer-lyricist,1999-01-20,Musician,Michael Stipe,
1999,model,1999-01-21,Media,Carmen Electra,
1999,actor,1999-01-25,Acting,Matthew Lillard,
1999,stand-up comedian,1999-01-26,Comedy,David Cross,
1999,actress,1999-01-27,Acting,Yasmine Bleeth,
1999,actor,1999-01-28,Acting,D. L. Hughley,
1999,television actress,1999-10-18,Acting,Rebecca Gayheart,
1999,Comedian,1999-10-19,Comedy,Steven Wright,
1999,actress,1999-10-20,Acting,Amy Brenneman,
1999,actress,1999-10-21,Acting,Melissa Gilbert,
1999,actress,1999-10-25,Acting,Cathy Moriarty,
1999,comedian,1999-10-26,Comedy,Louie Anderson,
1999,actress,1999-10-27,Acting,Sarah Michelle Gellar,
1999,Singer-songwriter,1999-10-28,Musician,Melanie C,
1999,actor,1999-10-04,Acting,Greg Proops,
1999,television personality,1999-10-05,Media,Maury Povich,
1999,actress,1999-10-06,Acting,Brooke Shields,
1999,Comic,1999-10-07,Comedy,Molly Shannon,
1999,actor,1999-11-01,Acting,Chris O'Donnell,
1999,actress,1999-11-15,Acting,Christina Ricci,
1999,Singer-songwriter,1999-11-16,Musician,Tori Amos,
1999,actress,1999-11-17,Acting,Yasmine Bleeth,
1999,comedian,1999-11-18,Comedy,Bill Maher,
1999,actress,1999-11-02,Acting,Jennifer Love Hewitt,
1999,rock band,1999-11-29,Musician,Goo Goo Dolls,
1999,musician,1999-11-03,Musician,Dave Grohl,
1999,Film actor,1999-11-30,Acting,Stephen Rea,
1999,Model,1999-11-04,Media,Roshumba Williams,
1999,television actress,1999-11-08,Acting,Kellie Martin,
1999,actress,1999-11-09,Acting,Kathy Griffin,
1999,actress,1999-12-01,Acting,Laura San Giacomo,
1999,journalist,1999-12-13,Media,Joan Lunden,
1999,actress,1999-12-14,Acting,Shannen Doherty,
1999,NA,1999-12-15,NA,Greatest Millennium Special,
1999,comedian,1999-12-16,Comedy,George Carlin,
1999,actor,1999-12-02,Acting,Michael Boatman,
1999,actor,1999-12-20,Acting,David Boreanaz,
1999,singer-songwriter,1999-12-21,Musician,Jewel,
1999,actor,1999-12-06,Acting,Paul Rudd,
1999,us senator,1999-12-07,Politician,"Senator Bob Dole, part 1",
1999,us senator,1999-12-08,Politician,"Senator Bob Dole, part 2",
1999,actor,1999-12-09,Acting,Rob Schneider,
1999,comedian,1999-02-01,Comedy,George Carlin,
1999,actress,1999-02-10,Acting,"Pamela Anderson, Natalie Raitano, Molly Culver",
1999,actress,1999-02-10,Acting,"Pamela Anderson, Natalie Raitano, Molly Culver",
1999,actress,1999-02-10,Acting,"Pamela Anderson, Natalie Raitano, Molly Culver",
1999,film actor,1999-02-11,Acting,Daniel Stern,
1999,actress,1999-02-16,Acting,Melina Kanakaredes,
1999,comedian,1999-02-17,Comedy,Ed McMahon,
1999,actor,1999-02-18,Acting,Mike Judge,
1999,actor,1999-02-02,Acting,Dave Foley,
1999,television actress,1999-02-03,Acting,Kellie Martin,
1999,actor,1999-02-04,Acting,Jerry O'Connell,
1999,actress,1999-02-08,Acting,Melissa Gilbert,
1999,actor,1999-02-09,Acting,Brendan Fraser,
1999,pianist,1999-03-01,Musician,John Tesh,
1999,Vocalist,1999-03-10,Musician,Sammy Hagar,
1999,rock band,1999-03-11,Musician,"Hootie & the Blowfish, Billy Crystal",
1999,actor,1999-03-11,Acting,"Hootie & the Blowfish, Billy Crystal",
1999,Film actor,1999-03-15,Acting,Peter Krause,
1999,musician,1999-03-16,Musician,Chris Isaak,
1999,writer,1999-03-17,Media,"Frank DeCaro's Oscar Special, John Larroquette",
1999,actor,1999-03-17,Acting,"Frank DeCaro's Oscar Special, John Larroquette",
1999,actor,1999-03-18,Acting,Joseph Gordon-Levitt,
1999,actor,1999-03-02,Acting,Eric McCormack,
1999,actress,1999-03-22,Acting,Jennifer Grey,
1999,Stand-up comedian,1999-03-23,Comedy,Norm Macdonald,
1999,actress,1999-03-24,Acting,Sandra Bullock,
1999,actress,1999-03-25,Acting,Janine Turner,
1999,Film director,1999-03-29,Media,Ron Howard,
1999,actress,1999-03-03,Acting,Jeri Ryan,
